;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
123;Model 1;Method 2;144;0.35;cost_nu;-0.1;-0.082;-0.108;0.18;0.078
124;Model 1;Method 2;144;0.35;(Intercept)_delta;-0.5;-2.084;-2.054;-3.168;2.754
125;Model 1;Method 2;144;0.35;semester2_delta;-0.25;-0.33;-0.316;-0.32;0.279
126;Model 1;Method 2;144;0.35;alpha;0.35;0.485;0.479;-0.386;0.02
127;Model 1;Method 2;144;0.5;(Intercept)_nu;2.1;0.898;0.92;0.572;1.648
128;Model 1;Method 2;144;0.5;sent_nu;0.1;0.045;0.049;0.55;0.066
129;Model 1;Method 2;144;0.5;cost_nu;-0.1;-0.098;-0.099;0.02;0.048
130;Model 1;Method 2;144;0.5;(Intercept)_delta;-0.5;-1.87;-1.885;-2.74;2.134
131;Model 1;Method 2;144;0.5;semester2_delta;-0.25;-0.264;-0.266;-0.056;0.174
132;Model 1;Method 2;144;0.5;alpha;0.5;0.554;0.552;-0.108;0.006
133;Model 1;Method 2;144;0.65;(Intercept)_nu;2.1;1.531;1.535;0.271;0.351
134;Model 1;Method 2;144;0.65;sent_nu;0.1;0.088;0.087;0.12;0.031
135;Model 1;Method 2;144;0.65;cost_nu;-0.1;-0.095;-0.095;0.05;0.023
136;Model 1;Method 2;144;0.65;(Intercept)_delta;-0.5;-0.277;-0.257;0.446;0.068
137;Model 1;Method 2;144;0.65;semester2_delta;-0.25;-0.192;-0.192;0.232;0.075
138;Model 1;Method 2;144;0.65;alpha;0.65;0.669;0.668;-0.029;0.003
139;Model 1;Method 2;144;0.8;(Intercept)_nu;2.1;1.819;1.822;0.134;0.094
140;Model 1;Method 2;144;0.8;sent_nu;0.1;0.093;0.091;0.07;0.022
141;Model 1;Method 2;144;0.8;cost_nu;-0.1;-0.091;-0.09;0.09;0.016
142;Model 1;Method 2;144;0.8;(Intercept)_delta;-0.5;-0.459;-0.452;0.082;0.021
143;Model 1;Method 2;144;0.8;semester2_delta;-0.25;-0.225;-0.23;0.1;0.059
144;Model 1;Method 2;144;0.8;alpha;0.8;0.813;0.813;-0.016;0.003
145;Model 1;Method 2;144;0.95;(Intercept)_nu;2.1;2.052;2.053;0.023;0.012
146;Model 1;Method 2;144;0.95;sent_nu;0.1;0.1;0.099;0;0.016
147;Model 1;Method 2;144;0.95;cost_nu;-0.1;-0.098;-0.097;0.02;0.01
148;Model 1;Method 2;144;0.95;(Intercept)_delta;-0.5;-0.558;-0.557;-0.116;0.032
149;Model 1;Method 2;144;0.95;semester2_delta;-0.25;-0.244;-0.241;0.024;0.05
150;Model 1;Method 2;144;0.95;alpha;0.95;0.952;0.961;-0.002;0.001
151;Model 1;Method 2;168;0.35;(Intercept)_nu;2.1;0.608;0.672;0.71;2.376
152;Model 1;Method 2;168;0.35;sent_nu;0.1;-0.06;-0.069;1.6;0.137
153;Model 1;Method 2;168;0.35;cost_nu;-0.1;-0.081;-0.022;0.19;0.167
154;Model 1;Method 2;168;0.35;(Intercept)_delta;-0.5;-1.864;-1.792;-2.728;2.076
155;Model 1;Method 2;168;0.35;semester2_delta;-0.25;-0.258;-0.316;-0.032;0.293
156;Model 1;Method 2;168;0.35;alpha;0.35;0.557;0.555;-0.591;0.044
157;Model 1;Method 2;168;0.5;(Intercept)_nu;2.1;0.699;0.75;0.667;2.198
158;Model 1;Method 2;168;0.5;sent_nu;0.1;0.033;0.053;0.67;0.094
159;Model 1;Method 2;168;0.5;cost_nu;-0.1;-0.081;-0.086;0.19;0.07
160;Model 1;Method 2;168;0.5;(Intercept)_delta;-0.5;-1.866;-1.842;-2.732;1.995
161;Model 1;Method 2;168;0.5;semester2_delta;-0.25;-0.286;-0.273;-0.144;0.238
162;Model 1;Method 2;168;0.5;alpha;0.5;0.577;0.572;-0.154;0.007
163;Model 1;Method 2;168;0.65;(Intercept)_nu;2.1;1.411;1.468;0.328;0.55
164;Model 1;Method 2;168;0.65;sent_nu;0.1;0.063;0.065;0.37;0.036
165;Model 1;Method 2;168;0.65;cost_nu;-0.1;-0.094;-0.096;0.06;0.028
166;Model 1;Method 2;168;0.65;(Intercept)_delta;-0.5;-1.606;-1.677;-2.212;1.548
167;Model 1;Method 2;168;0.65;semester2_delta;-0.25;-0.252;-0.243;-0.008;0.098
168;Model 1;Method 2;168;0.65;alpha;0.65;0.669;0.669;-0.029;0.003
169;Model 1;Method 2;168;0.8;(Intercept)_nu;2.1;1.811;1.813;0.138;0.097
170;Model 1;Method 2;168;0.8;sent_nu;0.1;0.095;0.094;0.05;0.019
171;Model 1;Method 2;168;0.8;cost_nu;-0.1;-0.1;-0.101;0;0.015
172;Model 1;Method 2;168;0.8;(Intercept)_delta;-0.5;-0.468;-0.461;0.064;0.017
173;Model 1;Method 2;168;0.8;semester2_delta;-0.25;-0.219;-0.22;0.124;0.045
174;Model 1;Method 2;168;0.8;alpha;0.8;0.809;0.808;-0.011;0.003
175;Model 1;Method 2;168;0.95;(Intercept)_nu;2.1;2.053;2.05;0.022;0.011
176;Model 1;Method 2;168;0.95;sent_nu;0.1;0.103;0.103;-0.03;0.013
177;Model 1;Method 2;168;0.95;cost_nu;-0.1;-0.101;-0.104;-0.01;0.008
178;Model 1;Method 2;168;0.95;(Intercept)_delta;-0.5;-0.563;-0.562;-0.126;0.029
179;Model 1;Method 2;168;0.95;semester2_delta;-0.25;-0.236;-0.237;0.056;0.043
180;Model 1;Method 2;168;0.95;alpha;0.95;0.952;0.959;-0.002;0.001
181;Model 2;Method 1;84;0.35;sent_nu;0.1;0.096;0.092;0.04;0.015
182;Model 2;Method 1;84;0.35;cost_nu;-0.1;-0.083;-0.081;0.17;0.015
183;Model 2;Method 1;84;0.35;(Intercept)_delta;-0.5;-0.688;-0.671;-0.376;0.343
184;Model 2;Method 1;84;0.35;semester2_delta;-0.25;-0.246;-0.242;0.016;0.201
185;Model 2;Method 1;84;0.35;alpha;0.35;0.464;0.461;-0.326;0.017
186;Model 2;Method 1;84;0.5;sent_nu;0.1;0.092;0.091;0.08;0.022
187;Model 2;Method 1;84;0.5;cost_nu;-0.1;-0.092;-0.092;0.08;0.021
188;Model 2;Method 1;84;0.5;(Intercept)_delta;-0.5;-0.572;-0.531;-0.144;0.263
189;Model 2;Method 1;84;0.5;semester2_delta;-0.25;-0.296;-0.283;-0.184;0.233
190;Model 2;Method 1;84;0.5;alpha;0.5;0.533;0.53;-0.066;0.007
191;Model 2;Method 1;84;0.65;sent_nu;0.1;0.09;0.091;0.1;0.029
192;Model 2;Method 1;84;0.65;cost_nu;-0.1;-0.093;-0.092;0.07;0.028
193;Model 2;Method 1;84;0.65;(Intercept)_delta;-0.5;-1.886;-0.914;-2.772;4.949
194;Model 2;Method 1;84;0.65;semester2_delta;-0.25;-0.415;-0.377;-0.66;0.367
195;Model 2;Method 1;84;0.65;alpha;0.65;0.568;0.593;0.126;0.025
196;Model 2;Method 1;84;0.8;sent_nu;0.1;0.092;0.098;0.08;0.038
197;Model 2;Method 1;84;0.8;cost_nu;-0.1;-0.097;-0.095;0.03;0.03
198;Model 2;Method 1;84;0.8;(Intercept)_delta;-0.5;-2.569;-3.375;-4.138;7.866
