;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
590;Model 4;Method 2;84;0.35;alpha;0.35;0.491;0.488;-0.403;0.023
591;Model 4;Method 2;84;0.5;sent_nu;0.1;0.078;0.078;0.22;0.013
592;Model 4;Method 2;84;0.5;cost_nu;-0.1;-0.075;-0.076;0.25;0.01
593;Model 4;Method 2;84;0.5;(Intercept)_delta;-3.5;-3.55;-3.507;-0.014;0.387
594;Model 4;Method 2;84;0.5;semester2_delta;-0.25;-0.405;-0.401;-0.62;0.426
595;Model 4;Method 2;84;0.5;alpha;0.5;0.562;0.559;-0.124;0.008
596;Model 4;Method 2;84;0.65;sent_nu;0.1;0.077;0.08;0.23;0.013
597;Model 4;Method 2;84;0.65;cost_nu;-0.1;-0.087;-0.086;0.13;0.008
598;Model 4;Method 2;84;0.65;(Intercept)_delta;-3.5;-3.503;-3.483;-0.001;0.165
599;Model 4;Method 2;84;0.65;semester2_delta;-0.25;-0.387;-0.388;-0.548;0.338
600;Model 4;Method 2;84;0.65;alpha;0.65;0.681;0.684;-0.048;0.007
601;Model 4;Method 2;84;0.8;sent_nu;0.1;0.082;0.083;0.18;0.01
602;Model 4;Method 2;84;0.8;cost_nu;-0.1;-0.092;-0.091;0.08;0.004
603;Model 4;Method 2;84;0.8;(Intercept)_delta;-3.5;-3.525;-3.505;-0.007;0.094
604;Model 4;Method 2;84;0.8;semester2_delta;-0.25;-0.323;-0.33;-0.292;0.246
605;Model 4;Method 2;84;0.8;alpha;0.8;0.837;0.837;-0.046;0.006
606;Model 4;Method 2;84;0.95;sent_nu;0.1;0.097;0.097;0.03;0.008
607;Model 4;Method 2;84;0.95;cost_nu;-0.1;-0.096;-0.097;0.04;0.003
608;Model 4;Method 2;84;0.95;(Intercept)_delta;-3.5;-3.552;-3.548;-0.015;0.062
609;Model 4;Method 2;84;0.95;semester2_delta;-0.25;-0.246;-0.25;0.016;0.19
610;Model 4;Method 2;84;0.95;alpha;0.95;0.967;0.988;-0.018;0.001
611;Model 4;Method 2;144;0.35;sent_nu;0.1;0.06;0.056;0.4;0.024
612;Model 4;Method 2;144;0.35;cost_nu;-0.1;-0.057;-0.06;0.43;0.018
613;Model 4;Method 2;144;0.35;(Intercept)_delta;-3.5;-5.517;-5.495;-0.576;4.788
614;Model 4;Method 2;144;0.35;semester2_delta;-0.25;-0.594;-0.688;-1.376;0.88
615;Model 4;Method 2;144;0.35;alpha;0.35;0.469;0.468;-0.34;0.015
616;Model 4;Method 2;144;0.5;sent_nu;0.1;0.064;0.06;0.36;0.018
617;Model 4;Method 2;144;0.5;cost_nu;-0.1;-0.068;-0.067;0.32;0.012
618;Model 4;Method 2;144;0.5;(Intercept)_delta;-3.5;-5.214;-5.371;-0.49;3.963
619;Model 4;Method 2;144;0.5;semester2_delta;-0.25;-0.572;-0.59;-1.288;0.689
620;Model 4;Method 2;144;0.5;alpha;0.5;0.54;0.536;-0.08;0.004
621;Model 4;Method 2;144;0.65;sent_nu;0.1;0.083;0.082;0.17;0.008
622;Model 4;Method 2;144;0.65;cost_nu;-0.1;-0.083;-0.083;0.17;0.005
623;Model 4;Method 2;144;0.65;(Intercept)_delta;-3.5;-3.467;-3.451;0.009;0.094
624;Model 4;Method 2;144;0.65;semester2_delta;-0.25;-0.335;-0.338;-0.34;0.193
625;Model 4;Method 2;144;0.65;alpha;0.65;0.673;0.675;-0.035;0.004
626;Model 4;Method 2;144;0.8;sent_nu;0.1;0.082;0.083;0.18;0.006
627;Model 4;Method 2;144;0.8;cost_nu;-0.1;-0.091;-0.09;0.09;0.003
628;Model 4;Method 2;144;0.8;(Intercept)_delta;-3.5;-3.482;-3.476;0.005;0.052
629;Model 4;Method 2;144;0.8;semester2_delta;-0.25;-0.341;-0.357;-0.364;0.147
630;Model 4;Method 2;144;0.8;alpha;0.8;0.823;0.823;-0.029;0.003
631;Model 4;Method 2;144;0.95;sent_nu;0.1;0.096;0.097;0.04;0.004
632;Model 4;Method 2;144;0.95;cost_nu;-0.1;-0.097;-0.097;0.03;0.001
633;Model 4;Method 2;144;0.95;(Intercept)_delta;-3.5;-3.537;-3.538;-0.011;0.034
634;Model 4;Method 2;144;0.95;semester2_delta;-0.25;-0.268;-0.26;-0.072;0.114
635;Model 4;Method 2;144;0.95;alpha;0.95;0.963;0.972;-0.014;0.001
636;Model 4;Method 2;168;0.35;sent_nu;0.1;0.046;0.043;0.54;0.025
637;Model 4;Method 2;168;0.35;cost_nu;-0.1;-0.061;-0.062;0.39;0.015
638;Model 4;Method 2;168;0.35;(Intercept)_delta;-3.5;-5.334;-5.327;-0.524;4.156
639;Model 4;Method 2;168;0.35;semester2_delta;-0.25;-0.703;-0.724;-1.812;0.87
640;Model 4;Method 2;168;0.35;alpha;0.35;0.505;0.502;-0.443;0.025
641;Model 4;Method 2;168;0.5;sent_nu;0.1;0.039;0.04;0.61;0.023
642;Model 4;Method 2;168;0.5;cost_nu;-0.1;-0.066;-0.069;0.34;0.013
643;Model 4;Method 2;168;0.5;(Intercept)_delta;-3.5;-5.488;-5.452;-0.568;4.287
644;Model 4;Method 2;168;0.5;semester2_delta;-0.25;-0.735;-0.796;-1.94;0.788
645;Model 4;Method 2;168;0.5;alpha;0.5;0.552;0.547;-0.104;0.004
646;Model 4;Method 2;168;0.65;sent_nu;0.1;0.07;0.075;0.3;0.01
647;Model 4;Method 2;168;0.65;cost_nu;-0.1;-0.082;-0.082;0.18;0.005
648;Model 4;Method 2;168;0.65;(Intercept)_delta;-3.5;-4.805;-4.976;-0.373;2.533
649;Model 4;Method 2;168;0.65;semester2_delta;-0.25;-0.424;-0.413;-0.696;0.286
650;Model 4;Method 2;168;0.65;alpha;0.65;0.677;0.678;-0.042;0.004
651;Model 4;Method 2;168;0.8;sent_nu;0.1;0.089;0.09;0.11;0.005
652;Model 4;Method 2;168;0.8;cost_nu;-0.1;-0.094;-0.094;0.06;0.002
653;Model 4;Method 2;168;0.8;(Intercept)_delta;-3.5;-3.5;-3.493;0;0.044
654;Model 4;Method 2;168;0.8;semester2_delta;-0.25;-0.285;-0.29;-0.14;0.119
655;Model 4;Method 2;168;0.8;alpha;0.8;0.822;0.82;-0.027;0.003
656;Model 4;Method 2;168;0.95;sent_nu;0.1;0.092;0.091;0.08;0.004
657;Model 4;Method 2;168;0.95;cost_nu;-0.1;-0.095;-0.096;0.05;0.001
658;Model 4;Method 2;168;0.95;(Intercept)_delta;-3.5;-3.524;-3.529;-0.007;0.03
659;Model 4;Method 2;168;0.95;semester2_delta;-0.25;-0.284;-0.274;-0.136;0.094
660;Model 4;Method 2;168;0.95;alpha;0.95;0.961;0.968;-0.012;0.001
661;Model 5;Method 1;84;0.35;(Intercept)_nu;2.5;2.538;2.538;-0.015;0.012
662;Model 5;Method 1;84;0.35;sent_nu;0.1;0.102;0.102;-0.02;0.007
663;Model 5;Method 1;84;0.35;cost_nu;-0.1;-0.104;-0.103;-0.04;0.006
664;Model 5;Method 1;84;0.35;semester1_delta;-3.5;-3.635;-3.532;-0.039;0.604
665;Model 5;Method 1;84;0.35;semester2_delta;-3.75;-3.895;-3.789;-0.039;0.63
666;Model 5;Method 1;84;0.35;alpha;0.35;0.429;0.426;-0.226;0.011
667;Model 5;Method 1;84;0.5;(Intercept)_nu;2.5;2.526;2.523;-0.01;0.012
668;Model 5;Method 1;84;0.5;sent_nu;0.1;0.099;0.1;0.01;0.009
669;Model 5;Method 1;84;0.5;cost_nu;-0.1;-0.103;-0.105;-0.03;0.008
670;Model 5;Method 1;84;0.5;semester1_delta;-3.5;-3.682;-3.654;-0.052;0.393
671;Model 5;Method 1;84;0.5;semester2_delta;-3.75;-3.952;-3.918;-0.054;0.427
672;Model 5;Method 1;84;0.5;alpha;0.5;0.53;0.526;-0.06;0.006
673;Model 5;Method 1;84;0.65;(Intercept)_nu;2.5;2.529;2.529;-0.012;0.012
674;Model 5;Method 1;84;0.65;sent_nu;0.1;0.101;0.1;-0.01;0.01
675;Model 5;Method 1;84;0.65;cost_nu;-0.1;-0.1;-0.101;0;0.007
676;Model 5;Method 1;84;0.65;semester1_delta;-3.5;-3.643;-3.621;-0.041;0.26
677;Model 5;Method 1;84;0.65;semester2_delta;-3.75;-3.908;-3.88;-0.042;0.271
678;Model 5;Method 1;84;0.65;alpha;0.65;0.673;0.675;-0.035;0.007
679;Model 5;Method 1;84;0.8;(Intercept)_nu;2.5;2.54;2.539;-0.016;0.013
680;Model 5;Method 1;84;0.8;sent_nu;0.1;0.099;0.099;0.01;0.009
681;Model 5;Method 1;84;0.8;cost_nu;-0.1;-0.1;-0.101;0;0.004
682;Model 5;Method 1;84;0.8;semester1_delta;-3.5;-3.656;-3.629;-0.045;0.23
683;Model 5;Method 1;84;0.8;semester2_delta;-3.75;-3.925;-3.904;-0.047;0.25
684;Model 5;Method 1;84;0.8;alpha;0.8;0.819;0.82;-0.024;0.006
685;Model 5;Method 1;84;0.95;(Intercept)_nu;2.5;2.578;2.58;-0.031;0.018
686;Model 5;Method 1;84;0.95;sent_nu;0.1;0.099;0.097;0.01;0.008
687;Model 5;Method 1;84;0.95;cost_nu;-0.1;-0.1;-0.101;0;0.003
688;Model 5;Method 1;84;0.95;semester1_delta;-3.5;-3.796;-3.788;-0.085;0.3
689;Model 5;Method 1;84;0.95;semester2_delta;-3.75;-4.066;-4.041;-0.084;0.312
690;Model 5;Method 1;84;0.95;alpha;0.95;0.944;0.954;0.006;0.002
691;Model 5;Method 1;144;0.35;(Intercept)_nu;2.5;2.531;2.529;-0.012;0.008
692;Model 5;Method 1;144;0.35;sent_nu;0.1;0.1;0.1;0;0.004
693;Model 5;Method 1;144;0.35;cost_nu;-0.1;-0.102;-0.099;-0.02;0.003
694;Model 5;Method 1;144;0.35;semester1_delta;-3.5;-3.495;-3.453;0.001;0.255
695;Model 5;Method 1;144;0.35;semester2_delta;-3.75;-3.751;-3.712;0;0.27
696;Model 5;Method 1;144;0.35;alpha;0.35;0.419;0.417;-0.197;0.007
697;Model 5;Method 1;144;0.5;(Intercept)_nu;2.5;2.512;2.512;-0.005;0.007
698;Model 5;Method 1;144;0.5;sent_nu;0.1;0.1;0.098;0;0.005
699;Model 5;Method 1;144;0.5;cost_nu;-0.1;-0.103;-0.103;-0.03;0.004
700;Model 5;Method 1;144;0.5;semester1_delta;-3.5;-3.6;-3.574;-0.029;0.195
701;Model 5;Method 1;144;0.5;semester2_delta;-3.75;-3.865;-3.832;-0.031;0.211
702;Model 5;Method 1;144;0.5;alpha;0.5;0.521;0.518;-0.042;0.003
703;Model 5;Method 1;144;0.65;(Intercept)_nu;2.5;2.518;2.518;-0.007;0.007
704;Model 5;Method 1;144;0.65;sent_nu;0.1;0.099;0.099;0.01;0.006
705;Model 5;Method 1;144;0.65;cost_nu;-0.1;-0.102;-0.101;-0.02;0.004
706;Model 5;Method 1;144;0.65;semester1_delta;-3.5;-3.599;-3.585;-0.028;0.14
707;Model 5;Method 1;144;0.65;semester2_delta;-3.75;-3.864;-3.841;-0.03;0.155
708;Model 5;Method 1;144;0.65;alpha;0.65;0.659;0.658;-0.014;0.004
709;Model 5;Method 1;144;0.8;(Intercept)_nu;2.5;2.534;2.535;-0.014;0.008
710;Model 5;Method 1;144;0.8;sent_nu;0.1;0.099;0.098;0.01;0.005
711;Model 5;Method 1;144;0.8;cost_nu;-0.1;-0.1;-0.1;0;0.003
712;Model 5;Method 1;144;0.8;semester1_delta;-3.5;-3.623;-3.614;-0.035;0.134
713;Model 5;Method 1;144;0.8;semester2_delta;-3.75;-3.878;-3.859;-0.034;0.139
714;Model 5;Method 1;144;0.8;alpha;0.8;0.808;0.808;-0.01;0.003
715;Model 5;Method 1;144;0.95;(Intercept)_nu;2.5;2.562;2.56;-0.025;0.011
716;Model 5;Method 1;144;0.95;sent_nu;0.1;0.099;0.099;0.01;0.004
717;Model 5;Method 1;144;0.95;cost_nu;-0.1;-0.099;-0.099;0.01;0.002
718;Model 5;Method 1;144;0.95;semester1_delta;-3.5;-3.718;-3.705;-0.062;0.176
719;Model 5;Method 1;144;0.95;semester2_delta;-3.75;-3.995;-3.972;-0.065;0.187
720;Model 5;Method 1;144;0.95;alpha;0.95;0.943;0.948;0.007;0.002
721;Model 5;Method 1;168;0.35;(Intercept)_nu;2.5;2.528;2.525;-0.011;0.007
722;Model 5;Method 1;168;0.35;sent_nu;0.1;0.101;0.102;-0.01;0.003
723;Model 5;Method 1;168;0.35;cost_nu;-0.1;-0.103;-0.104;-0.03;0.003
724;Model 5;Method 1;168;0.35;semester1_delta;-3.5;-3.451;-3.431;0.014;0.183
725;Model 5;Method 1;168;0.35;semester2_delta;-3.75;-3.698;-3.678;0.014;0.192
726;Model 5;Method 1;168;0.35;alpha;0.35;0.417;0.417;-0.191;0.007
727;Model 5;Method 1;168;0.5;(Intercept)_nu;2.5;2.512;2.513;-0.005;0.006
728;Model 5;Method 1;168;0.5;sent_nu;0.1;0.1;0.099;0;0.005
729;Model 5;Method 1;168;0.5;cost_nu;-0.1;-0.103;-0.103;-0.03;0.004
730;Model 5;Method 1;168;0.5;semester1_delta;-3.5;-3.593;-3.567;-0.027;0.165
731;Model 5;Method 1;168;0.5;semester2_delta;-3.75;-3.837;-3.815;-0.023;0.164
732;Model 5;Method 1;168;0.5;alpha;0.5;0.519;0.515;-0.038;0.003
733;Model 5;Method 1;168;0.65;(Intercept)_nu;2.5;2.52;2.522;-0.008;0.006
734;Model 5;Method 1;168;0.65;sent_nu;0.1;0.1;0.099;0;0.005
735;Model 5;Method 1;168;0.65;cost_nu;-0.1;-0.1;-0.101;0;0.004
736;Model 5;Method 1;168;0.65;semester1_delta;-3.5;-3.589;-3.574;-0.025;0.121
737;Model 5;Method 1;168;0.65;semester2_delta;-3.75;-3.856;-3.851;-0.028;0.127
738;Model 5;Method 1;168;0.65;alpha;0.65;0.658;0.658;-0.012;0.003
739;Model 5;Method 1;168;0.8;(Intercept)_nu;2.5;2.531;2.529;-0.012;0.007
740;Model 5;Method 1;168;0.8;sent_nu;0.1;0.099;0.098;0.01;0.005
741;Model 5;Method 1;168;0.8;cost_nu;-0.1;-0.099;-0.1;0.01;0.002
742;Model 5;Method 1;168;0.8;semester1_delta;-3.5;-3.616;-3.612;-0.033;0.119
743;Model 5;Method 1;168;0.8;semester2_delta;-3.75;-3.871;-3.867;-0.032;0.116
744;Model 5;Method 1;168;0.8;alpha;0.8;0.805;0.805;-0.006;0.002
745;Model 5;Method 1;168;0.95;(Intercept)_nu;2.5;2.561;2.561;-0.024;0.009
746;Model 5;Method 1;168;0.95;sent_nu;0.1;0.097;0.097;0.03;0.004
747;Model 5;Method 1;168;0.95;cost_nu;-0.1;-0.099;-0.1;0.01;0.001
748;Model 5;Method 1;168;0.95;semester1_delta;-3.5;-3.717;-3.701;-0.062;0.152
749;Model 5;Method 1;168;0.95;semester2_delta;-3.75;-3.999;-3.978;-0.066;0.168
750;Model 5;Method 1;168;0.95;alpha;0.95;0.941;0.945;0.009;0.002
751;Model 5;Method 2;84;0.35;(Intercept)_nu;2.5;1.66;1.645;0.336;0.757
752;Model 5;Method 2;84;0.35;sent_nu;0.1;0.096;0.097;0.04;0.022
753;Model 5;Method 2;84;0.35;cost_nu;-0.1;-0.101;-0.102;-0.01;0.013
754;Model 5;Method 2;84;0.35;semester1_delta;-3.5;-2.109;-2.016;0.397;2.22
755;Model 5;Method 2;84;0.35;semester2_delta;-3.75;-2.253;-2.171;0.399;2.533
756;Model 5;Method 2;84;0.35;alpha;0.35;0.453;0.447;-0.294;0.014
757;Model 5;Method 2;84;0.5;(Intercept)_nu;2.5;1.857;1.854;0.257;0.454
758;Model 5;Method 2;84;0.5;sent_nu;0.1;0.094;0.093;0.06;0.02
759;Model 5;Method 2;84;0.5;cost_nu;-0.1;-0.102;-0.102;-0.02;0.011
760;Model 5;Method 2;84;0.5;semester1_delta;-3.5;-2.298;-2.261;0.343;1.614
761;Model 5;Method 2;84;0.5;semester2_delta;-3.75;-2.475;-2.441;0.34;1.814
762;Model 5;Method 2;84;0.5;alpha;0.5;0.533;0.529;-0.066;0.006
763;Model 5;Method 2;84;0.65;(Intercept)_nu;2.5;2.11;2.114;0.156;0.175
764;Model 5;Method 2;84;0.65;sent_nu;0.1;0.097;0.098;0.03;0.015
765;Model 5;Method 2;84;0.65;cost_nu;-0.1;-0.099;-0.099;0.01;0.008
766;Model 5;Method 2;84;0.65;semester1_delta;-3.5;-2.607;-2.594;0.255;0.929
767;Model 5;Method 2;84;0.65;semester2_delta;-3.75;-2.799;-2.774;0.254;1.043
768;Model 5;Method 2;84;0.65;alpha;0.65;0.673;0.675;-0.035;0.007
769;Model 5;Method 2;84;0.8;(Intercept)_nu;2.5;2.308;2.31;0.077;0.051
770;Model 5;Method 2;84;0.8;sent_nu;0.1;0.099;0.098;0.01;0.012
771;Model 5;Method 2;84;0.8;cost_nu;-0.1;-0.1;-0.099;0;0.005
772;Model 5;Method 2;84;0.8;semester1_delta;-3.5;-3.035;-3.021;0.133;0.341
773;Model 5;Method 2;84;0.8;semester2_delta;-3.75;-3.256;-3.245;0.132;0.391
774;Model 5;Method 2;84;0.8;alpha;0.8;0.819;0.82;-0.024;0.006
775;Model 5;Method 2;84;0.95;(Intercept)_nu;2.5;2.485;2.485;0.006;0.009
776;Model 5;Method 2;84;0.95;sent_nu;0.1;0.1;0.098;0;0.008
777;Model 5;Method 2;84;0.95;cost_nu;-0.1;-0.1;-0.101;0;0.003
778;Model 5;Method 2;84;0.95;semester1_delta;-3.5;-3.542;-3.524;-0.012;0.148
779;Model 5;Method 2;84;0.95;semester2_delta;-3.75;-3.79;-3.775;-0.011;0.155
780;Model 5;Method 2;84;0.95;alpha;0.95;0.944;0.954;0.006;0.002
781;Model 5;Method 2;144;0.35;(Intercept)_nu;2.5;1.338;1.362;0.465;1.422
782;Model 5;Method 2;144;0.35;sent_nu;0.1;0.084;0.087;0.16;0.03
783;Model 5;Method 2;144;0.35;cost_nu;-0.1;-0.103;-0.102;-0.03;0.024
784;Model 5;Method 2;144;0.35;semester1_delta;-3.5;-3.576;-3.544;-0.022;0.286
785;Model 5;Method 2;144;0.35;semester2_delta;-3.75;-3.761;-3.697;-0.003;0.309
786;Model 5;Method 2;144;0.35;alpha;0.35;0.469;0.463;-0.34;0.015
787;Model 5;Method 2;144;0.5;(Intercept)_nu;2.5;1.506;1.488;0.398;1.067
788;Model 5;Method 2;144;0.5;sent_nu;0.1;0.094;0.094;0.06;0.023
789;Model 5;Method 2;144;0.5;cost_nu;-0.1;-0.1;-0.099;0;0.015
790;Model 5;Method 2;144;0.5;semester1_delta;-3.5;-3.795;-3.772;-0.084;0.27
791;Model 5;Method 2;144;0.5;semester2_delta;-3.75;-3.942;-3.963;-0.051;0.255
792;Model 5;Method 2;144;0.5;alpha;0.5;0.525;0.52;-0.05;0.003
793;Model 5;Method 2;144;0.65;(Intercept)_nu;2.5;2.061;2.071;0.176;0.211
794;Model 5;Method 2;144;0.65;sent_nu;0.1;0.096;0.096;0.04;0.01
795;Model 5;Method 2;144;0.65;cost_nu;-0.1;-0.101;-0.101;-0.01;0.005
796;Model 5;Method 2;144;0.65;semester1_delta;-3.5;-2.52;-2.506;0.28;1.039
797;Model 5;Method 2;144;0.65;semester2_delta;-3.75;-2.714;-2.7;0.276;1.164
798;Model 5;Method 2;144;0.65;alpha;0.65;0.659;0.658;-0.014;0.004
799;Model 5;Method 2;144;0.8;(Intercept)_nu;2.5;2.288;2.289;0.085;0.053
800;Model 5;Method 2;144;0.8;sent_nu;0.1;0.098;0.098;0.02;0.006
801;Model 5;Method 2;144;0.8;cost_nu;-0.1;-0.101;-0.1;-0.01;0.003
802;Model 5;Method 2;144;0.8;semester1_delta;-3.5;-2.949;-2.951;0.157;0.376
803;Model 5;Method 2;144;0.8;semester2_delta;-3.75;-3.163;-3.155;0.157;0.425
804;Model 5;Method 2;144;0.8;alpha;0.8;0.808;0.808;-0.01;0.003
805;Model 5;Method 2;144;0.95;(Intercept)_nu;2.5;2.465;2.463;0.014;0.007
806;Model 5;Method 2;144;0.95;sent_nu;0.1;0.099;0.101;0.01;0.004
807;Model 5;Method 2;144;0.95;cost_nu;-0.1;-0.099;-0.099;0.01;0.002
808;Model 5;Method 2;144;0.95;semester1_delta;-3.5;-3.455;-3.443;0.013;0.081
809;Model 5;Method 2;144;0.95;semester2_delta;-3.75;-3.703;-3.681;0.013;0.09
810;Model 5;Method 2;144;0.95;alpha;0.95;0.943;0.948;0.007;0.002
811;Model 5;Method 2;168;0.35;(Intercept)_nu;2.5;1.892;1.666;0.243;0.658
812;Model 5;Method 2;168;0.35;sent_nu;0.1;0.087;0.096;0.13;0.008
813;Model 5;Method 2;168;0.35;cost_nu;-0.1;-0.096;-0.094;0.04;0.007
814;Model 5;Method 2;168;0.35;semester1_delta;-3.5;-3.725;-3.658;-0.064;0.398
815;Model 5;Method 2;168;0.35;semester2_delta;-3.75;-3.88;-3.863;-0.035;0.361
816;Model 5;Method 2;168;0.35;alpha;0.35;0.51;0.531;-0.457;0.029
817;Model 5;Method 2;168;0.5;(Intercept)_nu;2.5;1.504;1.5;0.398;1.024
818;Model 5;Method 2;168;0.5;sent_nu;0.1;0.08;0.08;0.2;0.018
819;Model 5;Method 2;168;0.5;cost_nu;-0.1;-0.092;-0.098;0.08;0.013
820;Model 5;Method 2;168;0.5;semester1_delta;-3.5;-3.785;-3.761;-0.081;0.169
821;Model 5;Method 2;168;0.5;semester2_delta;-3.75;-3.969;-3.965;-0.058;0.138
822;Model 5;Method 2;168;0.5;alpha;0.5;0.571;0.565;-0.142;0.006
823;Model 5;Method 2;168;0.65;(Intercept)_nu;2.5;1.912;1.958;0.235;0.408
824;Model 5;Method 2;168;0.65;sent_nu;0.1;0.093;0.093;0.07;0.011
825;Model 5;Method 2;168;0.65;cost_nu;-0.1;-0.099;-0.099;0.01;0.006
826;Model 5;Method 2;168;0.65;semester1_delta;-3.5;-4.016;-4.061;-0.147;0.45
827;Model 5;Method 2;168;0.65;semester2_delta;-3.75;-4.186;-4.244;-0.116;0.391
828;Model 5;Method 2;168;0.65;alpha;0.65;0.659;0.659;-0.014;0.003
829;Model 5;Method 2;168;0.8;(Intercept)_nu;2.5;2.281;2.281;0.088;0.055
830;Model 5;Method 2;168;0.8;sent_nu;0.1;0.098;0.099;0.02;0.006
831;Model 5;Method 2;168;0.8;cost_nu;-0.1;-0.099;-0.098;0.01;0.003
832;Model 5;Method 2;168;0.8;semester1_delta;-3.5;-2.963;-2.95;0.153;0.361
833;Model 5;Method 2;168;0.8;semester2_delta;-3.75;-3.182;-3.169;0.151;0.401
834;Model 5;Method 2;168;0.8;alpha;0.8;0.805;0.805;-0.006;0.002
835;Model 5;Method 2;168;0.95;(Intercept)_nu;2.5;2.463;2.462;0.015;0.006
836;Model 5;Method 2;168;0.95;sent_nu;0.1;0.098;0.098;0.02;0.004
837;Model 5;Method 2;168;0.95;cost_nu;-0.1;-0.1;-0.101;0;0.001
838;Model 5;Method 2;168;0.95;semester1_delta;-3.5;-3.442;-3.436;0.017;0.067
839;Model 5;Method 2;168;0.95;semester2_delta;-3.75;-3.7;-3.691;0.013;0.078
840;Model 5;Method 2;168;0.95;alpha;0.95;0.941;0.945;0.009;0.002
841;Model 6;Method 1;84;0.35;(Intercept)_nu;2;2.028;2.024;-0.014;0.047
842;Model 6;Method 1;84;0.35;t_nu;0.01;0.01;0.01;0;0
843;Model 6;Method 1;84;0.35;(Intercept)_delta;-3.5;-3.599;-3.493;-0.028;0.584
844;Model 6;Method 1;84;0.35;semester2_delta;-0.25;-0.285;-0.286;-0.14;0.248
845;Model 6;Method 1;84;0.35;alpha;0.35;0.437;0.432;-0.249;0.012
846;Model 6;Method 1;84;0.5;(Intercept)_nu;2;2.016;2.012;-0.008;0.039
847;Model 6;Method 1;84;0.5;t_nu;0.01;0.01;0.01;0;0
848;Model 6;Method 1;84;0.5;(Intercept)_delta;-3.5;-3.608;-3.565;-0.031;0.333
849;Model 6;Method 1;84;0.5;semester2_delta;-0.25;-0.268;-0.253;-0.072;0.198
850;Model 6;Method 1;84;0.5;alpha;0.5;0.543;0.54;-0.086;0.007
851;Model 6;Method 1;84;0.65;(Intercept)_nu;2;2.023;2.023;-0.012;0.027
852;Model 6;Method 1;84;0.65;t_nu;0.01;0.01;0.01;0;0
853;Model 6;Method 1;84;0.65;(Intercept)_delta;-3.5;-3.632;-3.614;-0.038;0.209
854;Model 6;Method 1;84;0.65;semester2_delta;-0.25;-0.254;-0.249;-0.016;0.149
855;Model 6;Method 1;84;0.65;alpha;0.65;0.677;0.678;-0.042;0.007
856;Model 6;Method 1;84;0.8;(Intercept)_nu;2;2.037;2.037;-0.018;0.021
857;Model 6;Method 1;84;0.8;t_nu;0.01;0.01;0.01;0;0
858;Model 6;Method 1;84;0.8;(Intercept)_delta;-3.5;-3.664;-3.647;-0.047;0.196
859;Model 6;Method 1;84;0.8;semester2_delta;-0.25;-0.271;-0.273;-0.084;0.101
860;Model 6;Method 1;84;0.8;alpha;0.8;0.82;0.821;-0.025;0.005
861;Model 6;Method 1;84;0.95;(Intercept)_nu;2;2.079;2.075;-0.04;0.021
862;Model 6;Method 1;84;0.95;t_nu;0.01;0.01;0.01;0;0
863;Model 6;Method 1;84;0.95;(Intercept)_delta;-3.5;-3.793;-3.767;-0.084;0.256
864;Model 6;Method 1;84;0.95;semester2_delta;-0.25;-0.267;-0.266;-0.068;0.062
865;Model 6;Method 1;84;0.95;alpha;0.95;0.944;0.954;0.006;0.002
866;Model 6;Method 1;144;0.35;(Intercept)_nu;2;2.024;2.022;-0.012;0.026
867;Model 6;Method 1;144;0.35;t_nu;0.01;0.01;0.01;0;0
868;Model 6;Method 1;144;0.35;(Intercept)_delta;-3.5;-3.451;-3.443;0.014;0.197
869;Model 6;Method 1;144;0.35;semester2_delta;-0.25;-0.27;-0.265;-0.08;0.13
870;Model 6;Method 1;144;0.35;alpha;0.35;0.419;0.418;-0.197;0.007
871;Model 6;Method 1;144;0.5;(Intercept)_nu;2;2.007;2.007;-0.004;0.024
872;Model 6;Method 1;144;0.5;t_nu;0.01;0.01;0.01;0;0
873;Model 6;Method 1;144;0.5;(Intercept)_delta;-3.5;-3.593;-3.57;-0.027;0.185
874;Model 6;Method 1;144;0.5;semester2_delta;-0.25;-0.262;-0.268;-0.048;0.116
875;Model 6;Method 1;144;0.5;alpha;0.5;0.522;0.519;-0.044;0.003
876;Model 6;Method 1;144;0.65;(Intercept)_nu;2;2.013;2.014;-0.006;0.016
877;Model 6;Method 1;144;0.65;t_nu;0.01;0.01;0.01;0;0
878;Model 6;Method 1;144;0.65;(Intercept)_delta;-3.5;-3.59;-3.574;-0.026;0.124
879;Model 6;Method 1;144;0.65;semester2_delta;-0.25;-0.243;-0.236;0.028;0.08
880;Model 6;Method 1;144;0.65;alpha;0.65;0.665;0.665;-0.023;0.004
881;Model 6;Method 1;144;0.8;(Intercept)_nu;2;2.024;2.023;-0.012;0.011
882;Model 6;Method 1;144;0.8;t_nu;0.01;0.01;0.01;0;0
883;Model 6;Method 1;144;0.8;(Intercept)_delta;-3.5;-3.609;-3.595;-0.031;0.102
884;Model 6;Method 1;144;0.8;semester2_delta;-0.25;-0.253;-0.254;-0.012;0.052
885;Model 6;Method 1;144;0.8;alpha;0.8;0.809;0.809;-0.011;0.003
886;Model 6;Method 1;144;0.95;(Intercept)_nu;2;2.071;2.069;-0.036;0.014
887;Model 6;Method 1;144;0.95;t_nu;0.01;0.01;0.01;0;0
888;Model 6;Method 1;144;0.95;(Intercept)_delta;-3.5;-3.754;-3.739;-0.073;0.162
889;Model 6;Method 1;144;0.95;semester2_delta;-0.25;-0.273;-0.271;-0.092;0.038
